検索キーID,表示名,ソース,分類,必須可,検索対象,保有件数,保有率,記載率,歯科,状態,同名,備考
M0001,歯科,診療科目,診療科目,0,0,65045,40.29%,99.3%,1,現行,専門外来,歯科。医科の逆紹介では使わない
M0002,内科,診療科目,診療科目,1,1,57457,35.59%,99.3%,0,現行,専門外来,
M0003,小児歯科,診療科目,診療科目,0,0,43279,26.81%,99.3%,1,現行,専門外来、疾患治療,歯科。医科の逆紹介では使わない
M0004,歯科口腔外科,診療科目,診療科目,0,0,26884,16.65%,99.3%,1,現行,専門外来,歯科。医科の逆紹介では使わない
M0005,矯正歯科,診療科目,診療科目,0,0,25470,15.78%,99.3%,1,現行,専門外来,歯科。医科の逆紹介では使わない
M0006,消化器内科,診療科目,診療科目,1,1,22599,14.00%,99.3%,0,現行,専門外来,
M0007,小児科,診療科目,診療科目,1,1,19786,12.26%,99.3%,0,現行,専門外来,
M0008,リハビリテーション科,診療科目,診療科目,1,1,16919,10.48%,99.3%,0,現行,専門外来,
M0009,整形外科,診療科目,診療科目,1,1,16407,10.16%,99.3%,0,現行,専門外来,
M0010,循環器内科,診療科目,診療科目,1,1,16122,9.99%,99.3%,0,現行,専門外来,
M0011,皮膚科,診療科目,診療科目,1,1,15169,9.40%,99.3%,0,現行,専門外来,
M0012,外科,診療科目,診療科目,1,1,14687,9.10%,99.3%,0,現行,専門外来,
M0013,眼科,診療科目,診療科目,1,1,10274,6.36%,99.3%,0,現行,専門外来,
M0014,精神科,診療科目,診療科目,1,1,10226,6.33%,99.3%,0,現行,専門外来,
M0015,呼吸器内科,診療科目,診療科目,1,1,9701,6.01%,99.3%,0,現行,専門外来,
M0016,アレルギー科,診療科目,診療科目,1,1,8469,5.25%,99.3%,0,現行,,
M0017,耳鼻いんこう科,診療科目,診療科目,1,1,8399,5.20%,99.3%,0,現行,,
M0018,泌尿器科,診療科目,診療科目,1,1,6967,4.32%,99.3%,0,現行,専門外来,
M0019,心療内科,診療科目,診療科目,1,1,6506,4.03%,99.3%,0,現行,専門外来,
M0020,糖尿病内科,診療科目,診療科目,1,1,5939,3.68%,99.3%,0,現行,専門外来,
M0021,リウマチ科,診療科目,診療科目,1,1,5814,3.60%,99.3%,0,現行,専門外来,
M0022,脳神経内科,診療科目,診療科目,1,1,5603,3.47%,99.3%,0,現行,専門外来,
M0023,放射線科,診療科目,診療科目,1,1,5488,3.40%,99.3%,0,現行,,
M0024,小児矯正歯科,診療科目,診療科目,0,0,5252,3.25%,99.3%,1,現行,,歯科。医科の逆紹介では使わない
M0025,脳神経外科,診療科目,診療科目,1,1,4576,2.83%,99.3%,0,現行,専門外来,
M0026,麻酔科,診療科目,診療科目,1,1,4252,2.63%,99.3%,0,現行,,
M0027,肛門外科,診療科目,診療科目,1,1,3938,2.44%,99.3%,0,現行,,
M0028,産婦人科,診療科目,診療科目,1,1,3664,2.27%,99.3%,0,現行,,
M0029,形成外科,診療科目,診療科目,1,1,3597,2.23%,99.3%,0,現行,専門外来,
M0030,婦人科,診療科目,診療科目,1,1,3271,2.03%,99.3%,0,現行,専門外来,
M0031,腎臓内科,診療科目,診療科目,1,1,2994,1.85%,99.3%,0,現行,専門外来,
M0032,消化器外科,診療科目,診療科目,1,1,2753,1.71%,99.3%,0,現行,,
M0033,内分泌内科,診療科目,診療科目,1,1,2516,1.56%,99.3%,0,現行,専門外来,
M0034,美容皮膚科,診療科目,診療科目,1,1,2230,1.38%,99.3%,0,現行,専門外来,
M0035,乳腺外科,診療科目,診療科目,1,1,2033,1.26%,99.3%,0,現行,専門外来,
M0036,人工透析内科,診療科目,診療科目,1,1,1696,1.05%,99.3%,0,現行,,
M0037,口腔外科,診療科目,診療科目,0,0,1569,0.97%,99.3%,1,現行,専門外来,歯科。医科の逆紹介では使わない
M0038,内視鏡内科,診療科目,診療科目,1,1,1523,0.94%,99.3%,0,現行,,
M0039,代謝内科,診療科目,診療科目,1,1,1512,0.94%,99.3%,0,現行,,
M0040,心臓血管外科,診療科目,診療科目,1,1,1474,0.91%,99.3%,0,現行,専門外来,
M0041,漢方内科,診療科目,診療科目,1,1,1152,0.71%,99.3%,0,現行,専門外来,
M0042,血液内科,診療科目,診療科目,1,1,1147,0.71%,99.3%,0,現行,専門外来,
M0043,呼吸器外科,診療科目,診療科目,1,1,1138,0.70%,99.3%,0,現行,専門外来,
M0044,緩和ケア内科,診療科目,診療科目,1,1,1044,0.65%,99.3%,0,現行,,
M0045,美容外科,診療科目,診療科目,1,1,997,0.62%,99.3%,0,現行,,
M0046,産科,診療科目,診療科目,1,1,976,0.60%,99.3%,0,現行,,
M0047,救急科,診療科目,診療科目,1,1,966,0.60%,99.3%,0,現行,,
M0048,病理診断科,診療科目,診療科目,1,1,966,0.60%,99.3%,0,現行,,
M0049,肝臓内科,診療科目,診療科目,1,1,843,0.52%,99.3%,0,現行,専門外来,
M0050,小児外科,診療科目,診療科目,1,1,676,0.42%,99.3%,0,現行,専門外来,
M0051,老年内科,診療科目,診療科目,1,1,635,0.39%,99.3%,0,現行,,
M0052,ペインクリニック内科,診療科目,診療科目,1,1,610,0.38%,99.3%,0,現行,,
M0053,アレルギー内科,診療科目,診療科目,1,1,561,0.35%,99.3%,0,現行,,
M0054,腫瘍内科,診療科目,診療科目,1,1,502,0.31%,99.3%,0,現行,,
M0055,児童精神科,診療科目,診療科目,1,1,500,0.31%,99.3%,0,現行,,
M0056,気管食道科,診療科目,診療科目,1,1,479,0.30%,99.3%,0,現行,,
M0057,血管外科,診療科目,診療科目,1,1,477,0.30%,99.3%,0,現行,専門外来、疾患治療,
M0058,感染症内科,診療科目,診療科目,1,1,440,0.27%,99.3%,0,現行,,
M0059,放射線診断科,診療科目,診療科目,1,1,414,0.26%,99.3%,0,現行,,
M0060,老年精神科,診療科目,診療科目,1,1,322,0.20%,99.3%,0,現行,,
M0061,放射線治療科,診療科目,診療科目,1,1,318,0.20%,99.3%,0,現行,,
M0062,臨床検査科,診療科目,診療科目,1,1,312,0.19%,99.3%,0,現行,,
M0063,脂質代謝内科,診療科目,診療科目,1,1,295,0.18%,99.3%,0,現行,,
M0064,ペインクリニック外科,診療科目,診療科目,1,1,283,0.18%,99.3%,0,現行,,
M0065,女性内科,診療科目,診療科目,1,1,229,0.14%,99.3%,0,現行,,
M0066,内分泌外科,診療科目,診療科目,1,1,212,0.13%,99.3%,0,現行,,
M0067,頭頸部外科,診療科目,診療科目,1,1,203,0.13%,99.3%,0,現行,,
M0068,性感染症内科,診療科目,診療科目,1,1,199,0.12%,99.3%,0,現行,,
M0069,審美歯科,診療科目,診療科目,0,0,192,0.12%,99.3%,1,現行,専門外来,歯科。医科の逆紹介では使わない
M0070,内視鏡外科,診療科目,診療科目,1,1,184,0.11%,99.3%,0,現行,,
M0071,肛門内科,診療科目,診療科目,1,1,152,0.09%,99.3%,0,現行,,保有152件。表記ゆれの残骸でないか要確認
M0072,訪問歯科,診療科目,診療科目,0,0,108,0.07%,99.3%,1,現行,,歯科。医科の逆紹介では使わない
M0073,気管食道外科,診療科目,診療科目,1,1,85,0.05%,99.3%,0,現行,,保有85件。表記ゆれの残骸でないか要確認
M0074,リウマチ内科,診療科目,診療科目,1,1,79,0.05%,99.3%,0,現行,,保有79件。表記ゆれの残骸でないか要確認
M0075,総合診療科,診療科目,診療科目,1,1,62,0.04%,99.3%,0,現行,,保有62件。表記ゆれの残骸でないか要確認
M0076,腫瘍外科,診療科目,診療科目,1,1,54,0.03%,99.3%,0,現行,,保有54件。表記ゆれの残骸でないか要確認
M0077,予防歯科,診療科目,診療科目,0,0,53,0.03%,99.3%,1,現行,専門外来,歯科。医科の逆紹介では使わない
M0078,緩和ケア外科,診療科目,診療科目,1,1,53,0.03%,99.3%,0,現行,,保有53件。表記ゆれの残骸でないか要確認
M0079,移植外科,診療科目,診療科目,1,1,52,0.03%,99.3%,0,現行,,保有52件。表記ゆれの残骸でないか要確認
M0100,歯科領域の一次診療,疾患治療,歯科領域,0,0,55288,40.06%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0101,消化器系領域の一次診療,疾患治療,消化器系領域,1,1,39489,28.61%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0102,循環器系領域の一次診療,疾患治療,循環器系領域,1,1,39144,28.36%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0103,内分泌・代謝・栄養領域の一次診療,疾患治療,内分泌・代謝・栄養領域,1,1,39049,28.29%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0104,埋伏歯抜歯,疾患治療,歯科口腔外科領域,0,0,35858,25.98%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0105,呼吸器領域の一次診療,疾患治療,呼吸器領域,1,1,35662,25.84%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0106,腎・泌尿器系領域の一次診療,疾患治療,腎・泌尿器系領域,1,1,35124,25.45%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0107,顎関節症治療,疾患治療,歯科口腔外科領域,0,0,34813,25.22%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0108,肝・胆道・膵臓領域の一次診療,疾患治療,肝・胆道・膵臓領域,1,1,34574,25.05%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0109,漢方薬の処方,疾患治療,その他,1,1,32433,23.50%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0110,インスリン療法,疾患治療,内分泌・代謝・栄養領域,1,1,30057,21.78%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0111,血液・免疫系領域の一次診療,疾患治療,血液・免疫系領域,1,1,29009,21.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0112,ホルター型心電図検査,疾患治療,循環器系領域,1,1,27509,19.93%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0113,糖尿病患者教育（食事療法、運動療法、自己血糖測定）,疾患治療,内分泌・代謝・栄養領域,1,1,27191,19.70%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0114,在宅酸素療法,疾患治療,呼吸器領域,1,1,26056,18.88%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0115,筋・骨格系及び外傷領域の一次診療,疾患治療,筋・骨格系及び外傷領域,1,1,25103,18.19%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0116,小児領域の一次診療,疾患治療,小児領域,1,1,24375,17.66%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0117,糖尿病による合併症に対する継続的な管理及び指導,疾患治療,内分泌・代謝・栄養領域,1,1,24371,17.66%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0118,成人の歯科矯正治療,疾患治療,歯科領域、矯正歯科領域,0,0,24339,17.64%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0119,皮膚・形成外科領域の一次診療,疾患治療,皮膚・形成外科領域,1,1,24092,17.46%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0120,上部消化管内視鏡検査,疾患治療,消化器系領域,1,1,20527,14.87%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0121,在宅持続陽圧呼吸療法（睡眠時無呼吸症候群治療）,疾患治療,呼吸器領域,1,1,19868,14.40%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0122,口唇、舌若しくは口腔粘膜の炎症又は外傷の治療,疾患治療,歯科口腔外科領域,0,0,19481,14.12%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0123,認知症,疾患治療,精神科・神経科領域,1,1,18477,13.39%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0124,神経・脳血管領域の一次診療,疾患治療,神経・脳血管領域,1,1,17937,13.00%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0125,アトピー性皮膚炎の治療,疾患治療,皮膚・形成外科領域,1,1,17432,12.63%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0126,精神科・神経科領域の一次診療,疾患治療,精神科・神経科領域,1,1,16875,12.23%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0127,内分泌機能検査,疾患治療,内分泌・代謝・栄養領域,1,1,16683,12.09%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0128,医療用麻薬によるがん疼痛治療,疾患治療,緩和ケア領域,1,1,16191,11.73%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0129,真菌検査（顕微鏡検査）,疾患治療,皮膚・形成外科領域,1,1,15750,11.41%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0130,睡眠障害,疾患治療,精神科・神経科領域,1,1,15455,11.20%,84.9%,0,現行,専門外来,必須にすると記載の無い15.1%が落ちる
M0131,耳鼻咽喉領域の一次診療,疾患治療,耳鼻咽喉領域,1,1,14274,10.34%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0132,在宅における看取り,疾患治療,その他,1,1,14158,10.26%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0133,ＣＴ撮影,疾患治療,画像診断,1,1,13235,9.59%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0134,眼領域の一次診療,疾患治療,眼領域,1,1,13043,9.45%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0135,下部消化管内視鏡検査,疾患治療,消化器系領域,1,1,11961,8.67%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0136,乳腺領域の一次診療,疾患治療,乳腺領域,1,1,11398,8.26%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0137,運動器リハビリテーション,疾患治療,リハビリ領域,1,1,11105,8.05%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0138,画像診断管理（専ら画像診断を担当する医師による読影）,疾患治療,画像診断,1,1,10855,7.87%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0139,小児アレルギー疾患,疾患治療,小児領域,1,1,10560,7.65%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0140,神経ブロック,疾患治療,麻酔領域,1,1,10510,7.62%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0141,禁煙指導（ニコチン依存症管理）,疾患治療,精神科・神経科領域,1,1,10291,7.46%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0142,良性腫瘍又は母斑その他の切除・縫合手術,疾患治療,皮膚・形成外科領域,1,1,9922,7.19%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0143,欠損補綴（入れ歯）,疾患治療,歯科領域,0,0,9720,7.04%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0144,著しく歯科診療が困難な者（障害者等）の歯科治療,疾患治療,歯科領域,0,0,9577,6.94%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0145,皮膚生検,疾患治療,皮膚・形成外科領域,1,1,9465,6.86%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0146,予防歯科の実施またはう蝕予防処置（フッ素塗布、シーラント）,疾患治療,歯科領域,0,0,9337,6.77%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0147,歯ぎしり,疾患治療,歯科領域,0,0,9091,6.59%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0148,義肢装具の作成及び評価,疾患治療,筋・骨格系及び外傷領域,1,1,9076,6.58%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0149,凍結療法,疾患治療,皮膚・形成外科領域,1,1,9030,6.54%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0150,一般の小児歯科治療,疾患治療,小児歯科領域、歯科領域,0,0,8977,6.50%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0151,尿失禁の治療,疾患治療,腎・泌尿器系領域,1,1,8920,6.46%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0152,摂食機能障害の治療,疾患治療,歯科領域、耳鼻咽喉領域,0,0,8833,6.40%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0153,純音聴力検査,疾患治療,耳鼻咽喉領域,1,1,8682,6.29%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0154,神経症性障害（強迫性障害、不安障害、パニック障害等）,疾患治療,精神科・神経科領域,1,1,8674,6.29%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0155,終夜睡眠ポリグラフィー,疾患治療,精神科・神経科領域,1,1,8444,6.12%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0156,顔面外傷の治療,疾患治療,皮膚・形成外科領域,1,1,8195,5.94%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0157,小児呼吸器疾患,疾患治療,小児領域,1,1,7881,5.71%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0158,人工肛門の管理,疾患治療,消化器系領域,1,1,7724,5.60%,84.9%,0,現行,在宅医療,必須にすると記載の無い15.1%が落ちる
M0159,婦人科領域の一次診療,疾患治療,婦人科領域,1,1,7557,5.48%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0160,下部消化管内視鏡的切除術,疾患治療,消化器系領域,1,1,7517,5.45%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0161,乳幼児の育児相談,疾患治療,小児領域,1,1,7511,5.44%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0162,更年期障害治療,疾患治療,婦人科領域,1,1,7413,5.37%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0163,う蝕（虫歯）治療,疾患治療,歯科領域,0,0,7356,5.33%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0164,歯周病治療,疾患治療,歯科領域,0,0,7198,5.22%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0165,喉頭ファイバースコピー,疾患治療,耳鼻咽喉領域,1,1,7096,5.14%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0166,歯周病予防処置,疾患治療,歯科領域,0,0,7081,5.13%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0167,コンタクトレンズ検査,疾患治療,眼領域,1,1,7019,5.09%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0168,ペースメーカー管理,疾患治療,循環器系領域,1,1,7014,5.08%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0169,脳血管疾患等リハビリテーション,疾患治療,リハビリ領域,1,1,6966,5.05%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0170,口腔ケア,疾患治療,歯科領域,0,0,6934,5.02%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0171,精神療法,疾患治療,精神科・神経科領域,1,1,6923,5.02%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0172,夜尿症の治療,疾患治療,小児領域,1,1,6903,5.00%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0173,フッ素塗布,疾患治療,小児歯科領域,0,0,6721,4.87%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0174,インプラント,疾患治療,歯科口腔外科領域、歯科領域,0,0,5842,4.23%,84.9%,1,現行,専門外来,歯科。医科の逆紹介では使わない
M0175,ＭＲＩ撮影,疾患治療,画像診断,1,1,5744,4.16%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0176,がんに伴う精神症状のケア,疾患治療,緩和ケア領域,1,1,5719,4.14%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0177,小児視力障害診療,疾患治療,眼領域,1,1,5523,4.00%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0178,口腔外科関連小手術,疾患治療,歯科口腔外科領域,0,0,5509,3.99%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0179,外来における化学療法,疾患治療,その他,1,1,5429,3.93%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0180,網膜光凝固術（網膜剥離手術）,疾患治療,眼領域,1,1,5406,3.92%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0181,摂食機能療法,疾患治療,リハビリ領域,1,1,5297,3.84%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0182,心電図検査,疾患治療,循環器系領域,1,1,5195,3.76%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0183,臨床心理・神経心理検査,疾患治療,精神科・神経科領域,1,1,5187,3.76%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0184,発達障害（自閉症、学習障害等）,疾患治療,精神科・神経科領域,1,1,5095,3.69%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0185,若年者の歯科矯正治療,疾患治療,矯正歯科領域、歯科領域,0,0,5034,3.65%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0186,思春期のうつ病又は躁うつ病,疾患治療,精神科・神経科領域,1,1,5026,3.64%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0187,廃用症候群リハビリテーション,疾患治療,リハビリ領域,1,1,4936,3.58%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0188,上部消化管内視鏡的切除術,疾患治療,消化器系領域,1,1,4902,3.55%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0189,ＭＴＭ（ＭｉｎｏｒＴｏｏｔｈＭｏｖｅｍｅｎｔ）術,疾患治療,小児歯科領域、歯科領域,0,0,4897,3.55%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0190,心的外傷後ストレス障害（PTSD）,疾患治療,精神科・神経科領域,1,1,4842,3.51%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0191,手の外科手術,疾患治療,筋・骨格系及び外傷領域,1,1,4755,3.45%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0192,高血圧,疾患治療,内分泌・代謝・栄養領域,1,1,4589,3.33%,84.9%,0,現行,専門外来,必須にすると記載の無い15.1%が落ちる
M0193,摂食障害（拒食症・過食症）,疾患治療,精神科・神経科領域,1,1,4561,3.30%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0194,金属アレルギー患者の歯科診療,疾患治療,歯科領域,0,0,4541,3.29%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0195,硬膜外麻酔,疾患治療,麻酔領域,1,1,4517,3.27%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0196,脊椎麻酔,疾患治療,麻酔領域,1,1,4495,3.26%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0197,血液透析,疾患治療,腎・泌尿器系領域,1,1,4460,3.23%,84.9%,0,現行,専門外来,必須にすると記載の無い15.1%が落ちる
M0198,水晶体再建術（白内障手術）,疾患治療,眼領域,1,1,4401,3.19%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0199,咬合誘導,疾患治療,小児歯科領域、歯科領域,0,0,4397,3.19%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0200,歯牙移植術,疾患治療,歯科口腔外科領域,0,0,4381,3.17%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0201,口臭症の治療,疾患治療,歯科領域,0,0,4369,3.17%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0202,抗血栓療法,疾患治療,神経・脳血管領域,1,1,4318,3.13%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0203,重篤な歯周病の治療,疾患治療,歯科領域,0,0,4294,3.11%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0204,全身麻酔,疾患治療,麻酔領域、歯科領域,1,1,4293,3.11%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0205,フッ化物洗口の指導,疾患治療,歯科領域,0,0,4262,3.09%,84.9%,1,現行,,歯科。医科の逆紹介では使わない
M0206,脳波検査,疾患治療,神経・脳血管領域,1,1,4257,3.08%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0207,小児循環器疾患,疾患治療,小児領域,1,1,4201,3.04%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0208,痛風診療,疾患治療,内分泌・代謝・栄養領域,1,1,4193,3.04%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0209,呼吸器リハビリテーション,疾患治療,リハビリ領域,1,1,4178,3.03%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0210,小児腎疾患,疾患治療,小児領域,1,1,3996,2.90%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0211,光線療法（紫外線・赤外線・ＰＵＶＡ）,疾患治療,皮膚・形成外科領域,1,1,3962,2.87%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0212,産科領域の一次診療,疾患治療,産科領域,1,1,3798,2.75%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0213,膀胱鏡検査,疾患治療,腎・泌尿器系領域,1,1,3690,2.67%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0214,アルコール依存症,疾患治療,精神科・神経科領域,1,1,3628,2.63%,84.9%,0,現行,専門外来,必須にすると記載の無い15.1%が落ちる
M0215,アレルギーの減感作療法,疾患治療,血液・免疫系領域,1,1,3608,2.61%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0216,小児神経疾患,疾患治療,小児領域,1,1,3475,2.52%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0217,心身医学療法,疾患治療,精神科・神経科領域,1,1,3405,2.47%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0218,骨折観血的手術,疾患治療,筋・骨格系及び外傷領域,1,1,3355,2.43%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0219,マンモグラフィー検査（乳房撮影）,疾患治療,画像診断,1,1,3314,2.40%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0220,硬膜外ブロックにおける麻酔剤の持続注入,疾患治療,麻酔領域,1,1,3276,2.37%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0221,喘息,疾患治療,呼吸器領域,1,1,3242,2.35%,84.9%,0,現行,専門外来,必須にすると記載の無い15.1%が落ちる
M0222,麻酔科標榜医による麻酔（麻酔管理）,疾患治療,麻酔領域,1,1,3219,2.33%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0223,胃悪性腫瘍化学療法,疾患治療,消化器系領域,1,1,3210,2.33%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0224,大腸悪性腫瘍化学療法,疾患治療,消化器系領域,1,1,3126,2.27%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0225,小児内分泌疾患,疾患治療,小児領域,1,1,3017,2.19%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0226,アキレス腱断裂手術（筋・腱手術）,疾患治療,筋・骨格系及び外傷領域,1,1,3016,2.19%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0227,血液凝固異常の診断及び治療,疾患治療,血液・免疫系領域,1,1,2868,2.08%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0228,病理診断（専ら病理診断を担当する医師による診断）,疾患治療,病理診断,1,1,2846,2.06%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0229,ヘリコバクタピロリの除菌,疾患治療,消化器系領域,1,1,2819,2.04%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0230,小児糖尿病,疾患治療,小児領域,1,1,2755,2.00%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0231,肥満診療,疾患治療,内分泌・代謝・栄養領域,1,1,2744,1.99%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
M0232,皮膚悪性腫瘍手術,疾患治療,皮膚・形成外科領域,1,1,2727,1.98%,84.9%,0,現行,,必須にすると記載の無い15.1%が落ちる
